term,variants,meaning,category,safety_signal,safety_signal_raw,example_line,lsr,lsr_raw,confidence,source_hint,merged_from,merge_conflicts,extra_example_lines
SLI,"[""safe load indicator"", ""ASLI"", ""SLI not working"", ""SLI kharab"", ""SLI bypass"", ""load indicator"", ""SLI nahi hai"", ""load moment indicator"", ""LMI"", ""boom angle indicator""]",Crane safe load indicator that warns or cuts out on overload.,abbreviation,control_present,control_present,"Hydra SLI not working, load chart bhi nahi hai, 5 ton lift attempted with 2 slings.",Safe Mechanical Lifting,Safe Mechanical Lifting,high,Oil Mines Regulations 2017 lifting machinery; DGMS circulars on ASLI,1,,
SO,"[""safety officer"", ""SO sahab"", ""safety wale"", ""safety sir"", ""safety supervisor"", ""F&S officer"", ""HSE officer""]",Designated safety officer for the installation or contract.,abbreviation,,none,"SO ne site visit kiya, scaffold without tag, rokne ke baad bhi party ne kaam continue kiya.",,,high,Oil Mines Regulations 2017; OISD-RP-206,1,,
SOP,"[""standard operating procedure"", ""procedure"", ""SOP follow nahi"", ""SOP ke against"", ""SOP violate"", ""SOP violation"", ""एसओपी""]",Written standard procedure for an operation or maintenance task.,abbreviation,pseudo_control,pseudo_control,Operator bypassed SOP and opened separator drain manually while THP 30 ksc tha.,,,high,OISD-RP-206; common usage,1,,
SRP,"[""sucker rod pump"", ""SRP well"", ""SRP unit"", ""pump jack"", ""beam pump"", ""horse head"", ""SRP chal raha"", ""SRP well site"", ""counter weight""]","Sucker rod (beam) pumping unit on a well, with rotating counterweights and moving horse head.",abbreviation,energy_cue,energy_cue,"SRP well 11 horse head guard missing, counterweight rotating, helper paas khada tha.",,,high,ONGC / OIL production usage,1,,
SWA,"[""stop work authority"", ""stop work"", ""stop the job"", ""kaam roka"", ""kaam rok diya"", ""work stopped"", ""job stop kiya"", ""SWA card""]","Any worker's authority to stop an unsafe job, also the verb phrase reporting that work was stopped.",abbreviation,control_present,control_present,"Stop work by SO, kaam roka gaya, scaffold without ladder and toe board at tank T-3.",,,medium,IOGP Report 459 introduction; ONGC/OIL SWA practice,1,,
SWL,"[""safe working load"", ""SWL marking"", ""SWL nahi likha"", ""SWL not marked"", ""SWL exceed"", ""SWL se zyada"", ""WLL"", ""load chart""]","Maximum load a sling, hook, crane or lifting tackle is rated to carry, normally stamped or tagged on it.",abbreviation,pseudo_control,pseudo_control,"Chain pulley block used for pulling ESP cable, SWL marking nahi tha, hook latch missing.",Safe Mechanical Lifting,Safe Mechanical Lifting,high,Oil Mines Regulations 2017 (lifting machinery); IS 3177,1,,
T/F,"[""TF"", ""transformer"", ""T/F yard"", ""xmer"", ""transformer yard"", ""T/F oil leak"", ""S/S"", ""substation"", ""sub station""]","Transformer, written T/F in Indian electrical shorthand; substation is S/S.",abbreviation,energy_cue,energy_cue,"T/F yard fencing gate open at GGS, oil leak from T/F, fire sand bucket nahi.",,,high,common Indian electrical usage,1,,
TBT,"[""tool box talk"", ""toolbox talk"", ""toolbox"", ""tool box"", ""TBT nahi hua"", ""TBT nhi liya"", ""TBT record"", ""TBT sheet"", ""टूल बॉक्स""]",Short pre-job briefing given to the crew before starting work.,abbreviation,pseudo_control,pseudo_control,"Night shift TBT nahi hua, crew directly BHA handling pe chala gaya rig floor par.",,,high,common Indian oil & gas HSE practice; OISD-RP-206,1,,
TDS,"[""top drive"", ""top drive system"", ""TD"", ""top drive rig"", ""top drive ke niche""]","Top drive system on a drilling rig, rotating and hoisting the drill string.",abbreviation,energy_cue,energy_cue,"TDS torque wrench line snapped on rig 5, hook load high, koi guard nahi tha.",,,high,generic drilling; IADC,1,,
THP,"[""tubing head pressure"", ""THP 40 ksc"", ""CHP"", ""casing head pressure"", ""FTHP"", ""SITHP"", ""well pressure"", ""wellhead pressure"", ""WHP""]","Tubing head (or casing head) pressure at the wellhead, the main indicator of stored pressure energy.",abbreviation,energy_cue,energy_cue,"Sample point opened at THP 40 ksc without needle valve, direct 1 inch valve use kiya.",,,high,ONGC / OIL production reports,1,,
TP,"[""tool pusher"", ""toolpusher"", ""T.P."", ""TP sahab"", ""rig superintendent"", ""drilling in-charge"", ""rig I/C""]","Tool pusher, the rig in-charge for drilling operations; TP also means test pressure in piping context.",abbreviation,,none,"TP not on floor during tripping, driller alone, derrickman without fall arrestor.",,,medium,ONGC drilling designation; IADC,1,,
TPI,"[""third party inspection"", ""TPI certificate"", ""TPI cert"", ""TPI nahi tha"", ""TPI expired"", ""TPI due"", ""third party certified"", ""test certificate"", ""TC""]","Periodic inspection and certification of lifting gear, cranes, pressure vessels or scaffolds by an approved external agency.",abbreviation,pseudo_control,pseudo_control,"Hydra sling used for BOP lifting, TPI certificate expired since March, colour tag missing.",Safe Mechanical Lifting,Safe Mechanical Lifting,high,Oil Mines Regulations 2017; ONGC/OIL contract clauses,1,,
U/G,"[""UG"", ""underground"", ""U/G cable"", ""U/G pipeline"", ""U/G line"", ""under ground"", ""buried line"", ""buried cable"", ""niche line hai"", ""zameen ke niche""]","Underground or buried cable or pipeline, a hazard for excavation.",abbreviation,energy_cue,energy_cue,"JCB digging on ROW at Ch 34, U/G OFC and 8 inch P/L route not marked, trial pit nahi.",,,high,common Indian usage,1,,
UA,"[""unsafe act"", ""UA/UC"", ""UA UC"", ""UA report"", ""unsafe act report"", ""unsafe act observed"", ""असुरक्षित कार्य""]","Unsafe act by a person, the report type prefix for behaviour observations.",abbreviation,statement_cue,statement_type,UA: helper standing under suspended load during pipe unloading at pipe yard.,,,high,common Indian HSE reporting format,1,,
UC,"[""unsafe condition"", ""UC report"", ""unsafe condition report"", ""unsafe condition observed"", ""असुरक्षित स्थिति""]","Unsafe physical condition of equipment or workplace, the report type prefix for condition observations.",abbreviation,statement_cue,statement_type,"UC: cellar pit at well 5 open without cover, night me light bhi nahi.",,,high,common Indian HSE reporting format,1,,
W/O,"[""WO"", ""workover"", ""work over"", ""W/O rig"", ""WO rig"", ""workover rig"", ""W.O."", ""वर्कओवर""]",Workover operation or rig; note WO also means work order in contract context.,abbreviation,,none,"W/O rig moving on narrow village road, mast section without escort vehicle, night time.",,,high,ONGC / OIL well services usage,1,,
WL,"[""wire line"", ""wireline"", ""WL unit"", ""WLU"", ""slick line"", ""slickline"", ""WL job"", ""logging unit"", ""logging job"", ""wire line lubricator""]",Wireline or slickline unit used for well logging and downhole tools under pressure.,abbreviation,energy_cue,energy_cue,"WL job at well 3, lubricator pressure test nahi hua, wire path me helper khada.",Line of Fire,Line of Fire,medium,ONGC / OIL well services usage,1,,
X-mas tree,"[""xmas tree"", ""christmas tree"", ""X-mas"", ""wellhead"", ""WH"", ""master valve"", ""wing valve"", ""xmas tree valve"", ""wellhead valve""]",Wellhead valve assembly controlling flow from the well.,abbreviation,energy_cue,energy_cue,"X-mas tree master valve stem leaking gas, wing valve bhi passing, cellar me gas.",,,high,API 6A; Oil Mines Regulations 2017,1,,
blind flange,"[""blind"", ""blank flange"", ""ब्लाइंड""]",A solid steel flange used to seal off the end of a piping system.,barrier,control_present,control_present,Manifold drain left open without blind flange installed.,Energy Isolation,Energy Isolation,high,Piping and isolation standard.,1,,
ELCB,"[""earth leakage circuit breaker"", ""RCCB"", ""ईएलसीबी"", ""RCD"", ""ELCB nahi laga"", ""ELCB bypass"", ""ELCB not working"", ""earth leakage"", ""MCB"", ""miniature circuit breaker"", ""MCB bypass"", ""fuse wire""]",Safety device used in electrical installations to prevent shock by detecting leakage to earth.,barrier,control_present,control_present,Temporary camp power supply bypassed ELCB.,Bypassing Safety Controls,Bypassing Safety Controls,high,Electrical installation rules.,2,"[{""field"": ""meaning"", ""kept"": ""Safety device used in electrical installations to prevent shock by detecting leakage to earth."", ""dropped"": ""Earth leakage or residual current breaker protecting against electric shock from portable equipment.""}, {""field"": ""category"", ""kept"": ""barrier"", ""dropped"": ""abbreviation""}, {""field"": ""example_line"", ""kept"": ""Temporary camp power supply bypassed ELCB."", ""dropped"": ""Welding machine at site connected without ELCB, RCCB bypass kiya hua, earthing wire loose.""}]","[""Welding machine at site connected without ELCB, RCCB bypass kiya hua, earthing wire loose.""]"
fire extinguisher,"[""DCP"", ""CO2 cylinder"", ""fire bottle"", ""अग्निशामक""]",Portable device for discharging chemicals to put out small fires.,barrier,control_present,control_present,Hot work chal raha tha bina fire extinguisher stand-by ke.,Hot Work,Hot Work,high,OISD-STD-189.,1,,
fire monitor,"[""water monitor"", ""foam monitor"", ""मॉनिटर""]","High-capacity, stationary water/foam jet used for firefighting in terminals.",barrier,control_present,control_present,GGS water monitor rotation jammed due to rust.,,,high,OISD standards for production installations.,1,,
flash back arrestor,"[""FBA"", ""flashback arrestor"", ""एफबीए""]",Safety device in oxy-fuel welding/cutting to prevent flame from traveling back to cylinders.,barrier,control_present,control_present,Flash back arrestor missing on torch end of DA cylinder.,Bypassing Safety Controls,Bypassing Safety Controls,medium,Hot work safety standard.,1,,
gas detector,"[""multigas meter"", ""Lel meter"", ""गैस डिटेक्टर""]",Portable device to measure presence of explosive or toxic gases.,barrier,control_present,control_present,Confined space entry kiya without gas detector reading.,Confined Space,Confined Space,high,Work permit safety requirements.,1,,
handrail,"[""guardrail"", ""railing"", ""हैंडरेल""]",A rail fixed to posts on a platform or stairway to prevent falls.,barrier,control_present,control_present,Mud tank stair handrail broken by hydra impact.,Working at Height,Working at Height,high,Platform safety regulations.,1,,
NRV,"[""non return valve"", ""check valve"", ""एनआरवी"", ""non-return valve"", ""NRV passing"", ""NRV nahi laga"", ""NRV kharab""]",Valve that allows fluid to flow in one direction only.,barrier,control_present,control_present,Gas lift line NRV passing backwards during shutdown.,Energy Isolation,Energy Isolation,high,Piping engineering standard.,2,"[{""field"": ""meaning"", ""kept"": ""Valve that allows fluid to flow in one direction only."", ""dropped"": ""One-way valve preventing backflow in a line.""}, {""field"": ""category"", ""kept"": ""barrier"", ""dropped"": ""abbreviation""}, {""field"": ""example_line"", ""kept"": ""Gas lift line NRV passing backwards during shutdown."", ""dropped"": ""NRV on gas lift line to well 7 passing, back pressure aa raha, koi isolation nahi.""}]","[""NRV on gas lift line to well 7 passing, back pressure aa raha, koi isolation nahi.""]"
PSV,"[""pressure safety valve"", ""safety relief valve"", ""PRV"", ""पीएसवी"", ""safety valve"", ""relief valve"", ""SRV"", ""PSV bypass"", ""PSV isolated"", ""PSV due"", ""PSV testing"", ""PSV passing"", ""PSV pop test""]",Fail-safe valve designed to open and relieve excess pressure from vessels.,barrier,control_present,control_present,Compressor discharge PSV calibration overdue.,Bypassing Safety Controls,Bypassing Safety Controls,high,Process safety management standard.,2,"[{""field"": ""meaning"", ""kept"": ""Fail-safe valve designed to open and relieve excess pressure from vessels."", ""dropped"": ""Spring loaded valve that relieves overpressure from a vessel or line.""}, {""field"": ""category"", ""kept"": ""barrier"", ""dropped"": ""abbreviation""}, {""field"": ""example_line"", ""kept"": ""Compressor discharge PSV calibration overdue."", ""dropped"": ""PSV of HP separator isolated with block valve, bypass nahi hai, test due since 2 saal.""}]","[""PSV of HP separator isolated with block valve, bypass nahi hai, test due since 2 saal.""]"
SCBA,"[""breathing apparatus"", ""BA set"", ""एससीबीए"", ""self contained breathing apparatus"", ""B.A. set"", ""BA"", ""SCBA set"", ""SCBA nahi tha"", ""BA set kharab"", ""air line mask"", ""EEBD"", ""escape set""]",Self-Contained Breathing Apparatus used in toxic gas environments.,barrier,control_present,control_present,Rescue team SCBA cylinder pressure found below 100 bar during drill.,Confined Space,Confined Space,high,Emergency response procedures.,2,"[{""field"": ""meaning"", ""kept"": ""Self-Contained Breathing Apparatus used in toxic gas environments."", ""dropped"": ""Breathing apparatus worn in H2S or oxygen deficient atmosphere.""}, {""field"": ""category"", ""kept"": ""barrier"", ""dropped"": ""abbreviation""}, {""field"": ""safety_signal"", ""kept"": ""control_present"", ""dropped"": ""pseudo_control""}, {""field"": ""example_line"", ""kept"": ""Rescue team SCBA cylinder pressure found below 100 bar during drill."", ""dropped"": ""SCBA set at GCS control room cylinder pressure 80 bar only, mask strap toota hua.""}]","[""SCBA set at GCS control room cylinder pressure 80 bar only, mask strap toota hua.""]"
spade,"[""slip blind"", ""spectacle blind"", ""isolation spade"", ""स्पेड""]",A solid piece of metal inserted between two flanges to provide positive isolation.,barrier,control_present,control_present,Spade insert kiya without LOTO verification.,Energy Isolation,Energy Isolation,high,Energy Isolation / LOTO guidelines.,1,,
bolero,"[""camper"", ""pickup"", ""Mahindra Bolero"", ""बोलेरो""]",A specific brand of SUV/Pickup heavily utilized as a utility vehicle in Indian O&G fields.,equipment,energy_cue,energy_cue,Bolero parked inside hazardous area without valid vehicle pass.,Driving,Driving,high,Common Indian field transport.,1,,
BOP,"[""blow out preventer"", ""बीओपी"", ""blowout preventer"", ""BOP stack"", ""BOP test"", ""BOP test nahi hua"", ""BOP ka test"", ""annular"", ""ram"", ""pipe ram"", ""blind ram"", ""IBOP"", ""kelly cock"", ""HCR valve"", ""choke manifold""]",Critical well control equipment installed on the wellhead to prevent release of well fluids.,equipment,control_present,control_present,BOP ram function test delayed by driller shift change.,Bypassing Safety Controls,Bypassing Safety Controls,high,Standard drilling terminology; OISD-STD-174.,2,"[{""field"": ""meaning"", ""kept"": ""Critical well control equipment installed on the wellhead to prevent release of well fluids."", ""dropped"": ""Well control equipment on the wellhead used to close the well during drilling or workover.""}, {""field"": ""category"", ""kept"": ""equipment"", ""dropped"": ""abbreviation""}, {""field"": ""example_line"", ""kept"": ""BOP ram function test delayed by driller shift change."", ""dropped"": ""BOP test nahi hua after nipple-up, IBOP bhi rig floor pe nahi mila, drilling start kar diya.""}]","[""BOP test nahi hua after nipple-up, IBOP bhi rig floor pe nahi mila, drilling start kar diya.""]"
bowser,"[""water bowser"", ""fuel bowser"", ""tanker"", ""ब्राउज़र"", ""बाउजर""]","A mobile tank used for transporting water, diesel, or chemicals to the rig site.",equipment,energy_cue,energy_cue,Diesel bowser decanting without earth pit connection.,Bypassing Safety Controls,Bypassing Safety Controls,high,Indian industrial transport terminology.,1,,
cathead,"[""cat head"", ""makeup cathead"", ""breakout cathead""]",A spool on the drawworks used to pull lines for tongs.,equipment,energy_cue,energy_cue,Cathead chain broken during heavy pull.,Line of Fire,Line of Fire,medium,"Legacy rig equipment, still common in older PSU workover rigs.",1,,
chain block,"[""chain pulley block"", ""CPB"", ""चेन ब्लॉक""]","A lifting mechanism using a chain, operated manually to lift heavy loads.",equipment,energy_cue,energy_cue,Using damaged chain block to lift mud pump fluid end.,Safe Mechanical Lifting,Safe Mechanical Lifting,high,Lifting and rigging standard.,1,,
choke manifold,"[""choke"", ""manifold"", ""चोक मैनिफोल्ड""]",System of valves and chokes used to lower the pressure from the wellhead.,equipment,energy_cue,energy_cue,Choke manifold valve body showing severe erosion.,,,high,Well control equipment.,1,,
d-shackle,"[""D shackle"", ""bow shackle"", ""shackle"", ""डी शैकल""]",U-shaped load-bearing connecting device used in rigging.,equipment,energy_cue,energy_cue,Local make D-shackle used without SWL marking.,Safe Mechanical Lifting,Safe Mechanical Lifting,high,Rigging hardware terminology.,1,,
DB box,"[""distribution board"", ""distribution box"", ""डीबी बॉक्स""]",Component of an electricity supply system that divides an electrical power feed into subsidiary circuits.,equipment,energy_cue,energy_cue,DB box cover missing near shale shaker motor.,Energy Isolation,Energy Isolation,high,Electrical safety standard.,1,,
drawworks,"[""draw works"", ""winch"", ""hoist"", ""ड्रॉवर्क्स""]",The primary hoisting machinery on a drilling rig.,equipment,energy_cue,energy_cue,Drawworks primary brake slipping while lowering drill string.,Bypassing Safety Controls,Bypassing Safety Controls,high,Standard rig equipment.,1,,
elevator,"[""pipe elevator"", ""center latch elevator"", ""एलीवेटर""]",Hinged mechanism wrapped around drill pipe or casing to facilitate lifting.,equipment,energy_cue,energy_cue,Elevator latch nahi laga tha properly while pulling out.,Safe Mechanical Lifting,Safe Mechanical Lifting,high,Rig floor operations manuals.,1,,
extension board,"[""extension cord"", ""multiplug"", ""एक्सटेंशन बोर्ड""]",Portable electrical board to provide multiple sockets from one source.,equipment,energy_cue,energy_cue,Industrial plug na hoke domestic extension board was used in OCS.,,,high,Hinglish electrical term.,1,,
farana,"[""F-15"", ""Escorts crane"", ""फराना""]","Another brand/type of mobile pick-and-carry crane popular in India, similar to Hydra but slightly different design.",equipment,energy_cue,energy_cue,Farana crane outrigger not fully extended on soft soil.,Safe Mechanical Lifting,Safe Mechanical Lifting,medium,Indian construction and O&G site vernacular.,1,,
flare stack,"[""flare pit"", ""flare line"", ""फ्लेयर""]",Elevated vertical structure or horizontal pit used to safely burn off unusable gas.,equipment,release_cue,release_cue,"Flare stack pilot burner extinguished, raw gas venting observed.",Bypassing Safety Controls,Bypassing Safety Controls,high,GGS / Production facility standard.,1,,
flowline,"[""flow line"", ""delivery line"", ""फ्लोलाइन""]",Pipe carrying fluid from the wellhead to the gathering station.,equipment,energy_cue,energy_cue,Oil leak from 4 inch flowline near village crossing.,,,high,Pipeline and production terminology.,1,,
gas cutting set,"[""oxy acetylene set"", ""DA cylinder"", ""कटिंग सेट""]","Equipment consisting of gas cylinders, hoses, and a torch used to cut metal.",equipment,energy_cue,energy_cue,"Gas cutting set hoses not having jubilee clamps, tied with wire.",Hot Work,Hot Work,high,Hot work equipment terminology.,1,,
grating,"[""floor grating"", ""walkway grating"", ""ग्रेटिंग""]",A framework of metal bars used as a walking surface on platforms and rigs.,equipment,exposure_cue,exposure_cue,"Monkey board grating loosely fitted, tripping hazard.",Working at Height,Working at Height,high,Structural safety terminology.,1,,
grinder,"[""angle grinder"", ""AG4"", ""AG7"", ""ग्राइंडर""]",Handheld power tool used for grinding and cutting metal.,equipment,energy_cue,energy_cue,Contractor using angle grinder without wheel guard in scrap yard.,Bypassing Safety Controls,Bypassing Safety Controls,high,Common power tool in construction/maintenance.,1,,
halogen light,"[""flood light"", ""metal halide"", ""हैलोजन""]",High-intensity temporary lighting used for night operations on rigs.,equipment,energy_cue,energy_cue,Non-flameproof halogen light used near shale shaker area during night shift.,Work Authorisation,Work Authorization,medium,Rig electrical safety findings.,1,,
heater treater,"[""treater"", ""emulsion treater"", ""हीटर ट्रीटर""]",Vessel that uses heat to break oil-water emulsions in production facilities.,equipment,energy_cue,energy_cue,Heater treater fire tube inspection pending since 2 years.,,,medium,Oil gathering station standards.,1,,
hydra,"[""hydra crane"", ""हाइड्रा"", ""pick and carry""]","Locally manufactured pick-and-carry mobile crane, widely used but prone to tipping.",equipment,energy_cue,energy_cue,"Hydra se casing pipe utha raha tha, tag line use nahi kiya.",Safe Mechanical Lifting,Safe Mechanical Lifting,high,Common Indian O&G field vernacular; OISD alerts on hydra crane incidents.,1,,
jcb,"[""backhoe loader"", ""excavator"", ""जेसीबी"", ""backhoe"", ""poclain"", ""JCB se digging"", ""JCB chal raha tha"", ""JCB operator""]",Generic term used for any backhoe loader or earthmoving equipment.,equipment,energy_cue,energy_cue,JCB working near live flowline without spotter presence.,Line of Fire,Line of Fire,high,Common Hinglish usage in civil/pipeline works.,2,"[{""field"": ""meaning"", ""kept"": ""Generic term used for any backhoe loader or earthmoving equipment."", ""dropped"": ""Brand name used generically for any backhoe loader or excavator, common in pipeline ROW and civil work.""}, {""field"": ""category"", ""kept"": ""equipment"", ""dropped"": ""abbreviation""}, {""field"": ""example_line"", ""kept"": ""JCB working near live flowline without spotter presence."", ""dropped"": ""JCB digging on ROW at Ch 21, bucket 1 m from live 8 inch line, no line locator.""}]","[""JCB digging on ROW at Ch 21, bucket 1 m from live 8 inch line, no line locator.""]"
jhoola,"[""suspended platform"", ""bosun chair"", ""boatswain chair"", ""झूला""]","A suspended seat or platform used for working at heights, often makeshift in India.",equipment,exposure_cue,exposure_cue,Painter jhoola par tha without anchoring life line to permanent structure.,Working at Height,Working at Height,high,Indian industrial vernacular.,1,,
kelly,"[""kelly spinner"", ""केली""]",A multi-sided pipe that transfers rotary motion to the drill string.,equipment,energy_cue,energy_cue,Kelly bushing unseated while circulating.,Line of Fire,Line of Fire,high,Conventional rig terminology.,1,,
man riding winch,"[""manrider"", ""personnel winch"", ""मैन राइडिंग""]",A specialized winch certified for hoisting personnel in a harness or basket.,equipment,exposure_cue,exposure_cue,Utility air winch used instead of man riding winch for mast inspection.,Safe Mechanical Lifting,Safe Mechanical Lifting,high,IOGP lifting standards.,1,,
monkey board,"[""monkey derrick"", ""मंकी बोर्ड"", ""thribble board"", ""derrick board""]",Platform high in the derrick where the derrickman handles the top of the drill pipe.,equipment,exposure_cue,exposure_cue,Derrickman going to monkey board without double lanyard harness.,Working at Height,Working at Height,high,Standard rig terminology / Oil Mines Regulations.,1,,
mousehole,"[""mouse hole"", ""माउस होल""]",A shallow hole drilled under the rig floor to temporarily hold the next joint of drill pipe.,equipment,exposure_cue,exposure_cue,"Mousehole cover missing on rig floor, open hole hazard.",Line of Fire,Line of Fire,high,Rig floor terminology.,1,,
mud pump,"[""slush pump"", ""triplex pump"", ""मड पंप""]",Large reciprocating pump used to circulate drilling fluid.,equipment,energy_cue,energy_cue,Mud pump relief valve isolated intentionally during high pressure operation.,Energy Isolation,Energy Isolation,high,Drilling equipment standard.,1,,
pig launcher,"[""launcher"", ""scraper trap"", ""पिग लॉन्चर""]",Equipment used to insert a pipeline pig into a pressurized pipeline.,equipment,energy_cue,energy_cue,Opening pig launcher door without bleeding pressure fully.,Energy Isolation,Energy Isolation,high,Pipeline operations manual.,1,,
pig receiver,"[""receiver"", ""receiving trap"", ""पिग रिसीवर""]",Equipment used to safely receive and remove a pipeline pig.,equipment,energy_cue,energy_cue,Pig receiver vent valve found choked during pigging operation.,Energy Isolation,Energy Isolation,high,Pipeline operations manual.,1,,
poclain,"[""पोकलेन"", ""poklain"", ""chain mount excavator""]","Tracked excavator, commonly referred to by the legacy brand name.",equipment,energy_cue,energy_cue,Poclain chain slipped on slushy rig approach road.,Driving,Driving,high,Field vernacular in Assam/North East O&G operations.,1,,
power tong,"[""hydraulic tong"", ""casing tong"", ""पावर टोंग""]",Hydraulically operated tool used to spin and torque tubulars.,equipment,energy_cue,energy_cue,"Power tong hydraulic hose burst, oil spread on rig floor.",Line of Fire,Line of Fire,high,Standard workover and drilling equipment.,1,,
rat hole,"[""rathole"", ""रैट होल""]",A hole in the rig floor where the kelly is temporarily stored.,equipment,exposure_cue,exposure_cue,"Rathole area housekeeping poor, slippery mud present.",,,high,Rig floor terminology.,1,,
scaffolding,"[""scaffold"", ""pala"", ""machan"", ""पाड़"", ""मचान""]",Temporary structure to support work crew and materials.,equipment,exposure_cue,exposure_cue,Scaffolding built with bamboo instead of metallic pipes at heater treater.,Working at Height,Working at Height,high,Construction and maintenance standard.,1,,
separator,"[""test separator"", ""group separator"", ""V-SEP"", ""H-SEP"", ""सेपरेटर""]",Pressure vessel used for separating well fluids into gas and liquid phases.,equipment,energy_cue,energy_cue,Separator liquid level high alarm bypassed in OCS.,Bypassing Safety Controls,Bypassing Safety Controls,high,Production facility equipment.,1,,
shale shaker,"[""shaker"", ""vibrating screen"", ""शेल शेकर""]",Vibrating screens used to separate drill cuttings from circulating drilling mud.,equipment,exposure_cue,exposure_cue,Worker cleaning shale shaker screen without hand gloves.,,,high,Solid control equipment terminology.,1,,
slips,"[""slip"", ""drill collar slip"", ""casing slip"", ""स्लिप""]",Wedge-shaped pieces of metal with teeth used to hold the drill string in the rotary table.,equipment,energy_cue,energy_cue,Roughneck slipped while handling casing slips on rig floor.,Line of Fire,Line of Fire,high,Standard rig equipment.,1,,
stabbing board,"[""casing stabbing board"", ""स्टैबिंग बोर्ड""]",A temporary platform in the derrick used by personnel to guide casing into the well.,equipment,exposure_cue,exposure_cue,"Stabbing board tie-off rope damaged, fall hazard.",Working at Height,Working at Height,high,Rig equipment manual.,1,,
standpipe,"[""stand pipe"", ""stand-pipe"", ""स्टैंडपाइप""]",A rigid metal pipe that provides a pathway for drilling mud to travel up the derrick.,equipment,energy_cue,energy_cue,Standpipe manifold gauge showing zero while pump is running.,Energy Isolation,Energy Isolation,high,Drilling mud circulation system.,1,,
sucker rod pump,"[""SRP"", ""nodding donkey"", ""pump jack"", ""एसआरपी""]",Artificial lift pumping unit on the surface of an oil well.,equipment,energy_cue,energy_cue,"SRP counterweight guard missing, unguarded rotating parts.",Energy Isolation,Energy Isolation,high,Production/Artificial Lift terminology.,1,,
tirfor,"[""wire rope hoist"", ""tirfor machine"", ""टिरफोर""]",A manually operated wire rope hoist used for pulling and tensioning.,equipment,energy_cue,energy_cue,"Tirfor se BOP align kar rahe the, handle bent.",Safe Mechanical Lifting,Safe Mechanical Lifting,high,Rigging operations terminology.,1,,
tongs,"[""rig tong"", ""manual tong"", ""rotary tong"", ""टोंग""]",Large wrenches used on the rig floor to make up or break out drill pipe.,equipment,energy_cue,energy_cue,"Manual tong jaw slipped during make up, hitting floorman leg.",Line of Fire,Line of Fire,high,Standard drilling/workover equipment.,1,,
top drive,"[""TDS"", ""top drive system"", ""टॉप ड्राइव""]",A mechanical device on a rig that provides clockwise torque to the drill string to drill.,equipment,energy_cue,energy_cue,Top drive link tilt mechanism got stuck midway.,Line of Fire,Line of Fire,high,Modern drilling operations.,1,,
tugger winch,"[""air winch"", ""utility winch"", ""tugger"", ""टगर विंच""]",Air or hydraulically operated utility winch on the rig floor.,equipment,energy_cue,energy_cue,Tugger winch wire rope condition poor and frayed.,Safe Mechanical Lifting,Safe Mechanical Lifting,medium,Drilling rig deck operations.,1,,
vacuum truck,"[""gully sucker"", ""suction truck"", ""वैक्यूम ट्रक""]",A tank truck equipped with a heavy-duty vacuum for sucking up oil spills or sludge.,equipment,energy_cue,energy_cue,Vacuum truck suction hose leaked spilling crude oil in cellar pit.,,,medium,Waste management and spill response.,1,,
web sling,"[""belt sling"", ""nylon sling"", ""वेब स्लिंग""]",Synthetic lifting strap used to lift fragile or regular loads without damage.,equipment,energy_cue,energy_cue,Web sling cut at edges used for motor lifting.,Safe Mechanical Lifting,Safe Mechanical Lifting,medium,Lifting accessories standard.,1,,
welding machine,"[""welding generator"", ""welding DG"", ""वेल्डिंग मशीन""]",Power supply unit used for arc welding.,equipment,energy_cue,energy_cue,"Welding machine earthing cable broken, risk of shock.",Hot Work,Hot Work,high,Maintenance equipment.,1,,
wireline unit,"[""slickline unit"", ""WLU"", ""वायरलाइन""]",Truck or skid-mounted winch equipment used to lower tools into the wellbore.,equipment,energy_cue,energy_cue,Wireline unit positioned upwind but exhaust missing spark arrestor.,Work Authorisation,Work Authorization,high,Well servicing terminology.,1,,
