id,source,record_type,degree_injury_cd,degree_injury,date,year,mine_id,coal_metal,subunit,classification,accident_type,activity,injury_source,nature_injury,body_part,days_lost,no_injuries,mining_equipment,is_oilgas,oilgas_score,oilgas_terms,actual_injury,actual_fatality,narrative,narrative_words,text,is_duplicate,duplicate_of,dup_kind,duplicate_ids,split_hint
msha_001891,msha,no_injury_event,00,ACCIDENT ONLY,2022-02-14,2022,4608878,C,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,Lost Power to the E-hoist. Power loss was on the AEP Side. Due to a Blown Transformer. No one hurt no one injured,23,Lost Power to the E-hoist. Power loss was on the AEP Side. Due to a Blown Transformer. No one hurt no one injured,False,,,,train_candidate
msha_001894,msha,permanent_impairment,02,PERM TOT OR PERM PRTL DISABLTY,2006-02-24,2006,4800154,M,MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,"Caught in, under or between NEC",Handling supplies or material,"METAL,NEC(PIPE,WIRE,NAIL)",AMPUTATION OR ENUCLEATION,FINGER(S)/THUMB,0,1,NO VALUE FOUND,False,1,"[""pipe rack""]",True,False,"Moving sections of 3"" diameter pipe into the pipe rack, one section bound up on another and as he moved it he caught his left middle finger between them and took the tip of the 1st joint off.",38,"Moving sections of 3"" diameter pipe into the pipe rack, one section bound up on another and as he moved it he caught his left middle finger between them and took the tip of the 1st joint off.",False,,,,train_candidate
msha_001895,msha,no_injury_event,00,ACCIDENT ONLY,2023-07-06,2023,4800977,C,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,Smoldering coal was found in an area of the pit that was difficult to access. It was over 30 minutes before a loader could reach the area and dig it out.,31,Smoldering coal was found in an area of the pit that was difficult to access. It was over 30 minutes before a loader could reach the area and dig it out.,False,,,,train_candidate
msha_001896,msha,no_injury_event,00,ACCIDENT ONLY,2026-01-22,2026,4801034,C,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,Smoker was identified in area 6. No people or resources are at risk.,13,Smoker was identified in area 6. No people or resources are at risk.,False,,,,train_candidate
msha_001898,msha,no_injury_event,00,ACCIDENT ONLY,2020-02-23,2020,4801337,C,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,"Hot coal was observed at ramp 34 in the east side of the pit. This did not result in injury, damage or impairment.",23,"Hot coal was observed at ramp 34 in the east side of the pit. This did not result in injury, damage or impairment.",False,,,,train_candidate
msha_001901,msha,no_injury_event,00,ACCIDENT ONLY,2020-08-26,2020,4801429,C,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,"Spontaneous combustion started in an open unshot coal face that could not be reached by the loader. Holes were drilled in the top of the bench, the holes were loaded and shot. The hot coal was loaded out and buried. At no time was there any danger to either employees, equipment or structures.",53,"Spontaneous combustion started in an open unshot coal face that could not be reached by the loader. Holes were drilled in the top of the bench, the holes were loaded and shot. The hot coal was loaded out and buried. At no time was there any danger to either employees, equipment or structures.",False,,,,train_candidate
msha_001913,msha,fatal,01,FATALITY,2024-06-14,2024,0404802,M,"STRIP, QUARY, OPEN PIT",FIRE,Struck by... NEC,"Other, NEC",WHEEL-FROM CAR OR TRUCK,MULTIPLE INJURIES,MULTIPLE PARTS (MORE THAN ONE MAJOR),,1,"Front-end loader, Tractor-shovel, Payloader, Highlift, Skip loader",False,0,[],True,True,"988 Loader caught fire, was unable to be extinguished by site personnel, 911 was called. Two fire crews arrived on site, one fireman approached the loader by the rear tire. The plant manager was yelling at them to get away from the tire. It exploded killing the fireman by the tire.",51,"988 Loader caught fire, was unable to be extinguished by site personnel, 911 was called. Two fire crews arrived on site, one fireman approached the loader by the rear tire. The plant manager was yelling at them to get away from the tire. It exploded killing the fireman by the tire.",False,,,,train_candidate
msha_001918,msha,no_injury_event,00,ACCIDENT ONLY,2021-08-11,2021,1000088,M,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,After the Silver Shaft Hoist was idle for a lengthy time the weight brake would not lift fast enough or high enough to release. A consultant was called in to help diagnose the problem and identified that the brake set regulator pressure was not high enough to engage the brake boost solenoid. The regulator pressure was turned up correcting the problem.,61,After the Silver Shaft Hoist was idle for a lengthy time the weight brake would not lift fast enough or high enough to release. A consultant was called in to help diagnose the problem and identified that the brake set regulator pressure was not high enough to engage the brake boost solenoid. The regulator pressure was turned up correcting the problem.,False,,,,train_candidate
msha_001935,msha,no_injury_event,00,ACCIDENT ONLY,2020-11-07,2020,1600358,M,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,On 11/7/2020 at 10:02 am the hoist was out of service due to a blower motor breaker trip. An electrician was called up and reset the breaker.,27,On 11/7/2020 at 10:02 am the hoist was out of service due to a blower motor breaker trip. An electrician was called up and reset the breaker.,False,,,,train_candidate
msha_001936,msha,fatal,01,FATALITY,2002-09-10,2002,1800013,M,"STRIP, QUARY, OPEN PIT",MACHINERY,Struck against a moving object,"Surface equipment, NEC",SURFACE MINING MACHINES,MULTIPLE INJURIES,MULTIPLE PARTS (MORE THAN ONE MAJOR),,1,"Carriage-mounted drills, Rail, Rubber-tired, Jumbo, Air-track drill",True,4,"[""derrick"", ""driller""]",True,True,"Driller was in drill cab preparing to drill an 18' deep angle hole. Drill had been levelled and all jacks had been extended. Derrick was being positioned when drill overturned onto right side, trapping driller in cab.",37,"Driller was in drill cab preparing to drill an 18' deep angle hole. Drill had been levelled and all jacks had been extended. Derrick was being positioned when drill overturned onto right side, trapping driller in cab.",False,,,,train_candidate
msha_001939,msha,fatal,01,FATALITY,2023-01-30,2023,2302308,M,MILL OPERATION/PREPARATION PLANT,SLIP OR FALL OF PERSON,"Fall from scaffolds, walkways, platforms",Machine maintenance,GROUND,"UNCLASSIFIED,NOT DETERMED",MULTIPLE PARTS (MORE THAN ONE MAJOR),,1,NO VALUE FOUND,False,1,"[""catwalk""]",True,True,An employee was fatally injured when they fell from an opening in an elevated catwalk.,15,An employee was fatally injured when they fell from an opening in an elevated catwalk.,False,,,,train_candidate
msha_001943,msha,permanent_impairment,02,PERM TOT OR PERM PRTL DISABLTY,2023-03-01,2023,2601950,M,MILL OPERATION/PREPARATION PLANT,MACHINERY,"Caught in, under or between running or meshing objects",Machine maintenance,"MACHINE-MILL,CLEANING PLT",AMPUTATION OR ENUCLEATION,FINGER(S)/THUMB,0,1,"Packaging machine, Bagger, Sewing machine, Palletizer",False,0,[],True,False,"Employee failed to lock out, tag out, test out a belt-driven piece of equipment and used right hand to get the energized belt to move. Belt engaged and right hand fingertip was cut off by pulley/belt assembly. Fingertip was amputated.",40,"Employee failed to lock out, tag out, test out a belt-driven piece of equipment and used right hand to get the energized belt to move. Belt engaged and right hand fingertip was cut off by pulley/belt assembly. Fingertip was amputated.",False,,,,train_candidate
msha_001946,msha,permanent_impairment,02,PERM TOT OR PERM PRTL DISABLTY,2008-11-10,2008,2602535,M,SURFACE AT UNDERGROUND,MACHINERY,"Caught in, under or between running or meshing objects",Hand tools (not powered),"DRUM,PULY,SHEAVE-NT CONVY",AMPUTATION OR ENUCLEATION,FINGER(S)/THUMB,,1,"Carriage-mounted drills, Rail, Rubber-tired, Jumbo, Air-track drill",True,2,"[""wireline""]",True,False,"While pulling core tubes, the EE was guiding wire line onto spool w/hammer. His gloves were pulled into the wireline drum where his 3 middle finger of (L) hand were caught in the cable wrap. I n a jerking reaction, the EE pulled back to free his hand and subsequently amputated his 3 middle fingers below 1st knuckle. At hospital, required amputation of middle finger to 2nd knuckle.",68,"While pulling core tubes, the EE was guiding wire line onto spool w/hammer. His gloves were pulled into the wireline drum where his 3 middle finger of (L) hand were caught in the cable wrap. I n a jerking reaction, the EE pulled back to free his hand and subsequently amputated his 3 middle fingers below 1st knuckle. At hospital, required amputation of middle finger to 2nd knuckle.",False,,,,train_candidate
msha_001950,msha,no_injury_event,00,ACCIDENT ONLY,2025-03-19,2025,3000663,M,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,"#3 Hoist was having some electrical problems, so crew was troubleshooting it, we still had our #4 and #2 for escapeways. It ended up being 2 bad fuses. and was repaired",31,"#3 Hoist was having some electrical problems, so crew was troubleshooting it, we still had our #4 and #2 for escapeways. It ended up being 2 bad fuses. and was repaired",False,,,,train_candidate
msha_001956,msha,permanent_impairment,02,PERM TOT OR PERM PRTL DISABLTY,2024-07-12,2024,3101979,M,MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,"Caught in, under or between NEC",Machine maintenance,"MACHINE-MILL,CLEANING PLT",AMPUTATION OR ENUCLEATION,FINGER(S)/THUMB,0,1,NO VALUE FOUND,False,0,[],True,False,"The miner was performing maintenance on a crusher; in the process, the miner came into contact with a sharp edge. This resulted in a laceration and partial amputation on the tip of the left ring finger.",36,"The miner was performing maintenance on a crusher; in the process, the miner came into contact with a sharp edge. This resulted in a laceration and partial amputation on the tip of the left ring finger.",False,,,,train_candidate
msha_001959,msha,permanent_impairment,02,PERM TOT OR PERM PRTL DISABLTY,2012-08-23,2012,3400530,M,"STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,"Caught in, under or between a moving and a stationary object",Inspect equipment or mine,"DRUM,PULY,SHEAVE-NT CONVY",AMPUTATION OR ENUCLEATION,FINGER(S)/THUMB,30,1,"Carriage-mounted drills, Rail, Rubber-tired, Jumbo, Air-track drill",True,2,"[""driller""]",True,False,"While servicing a water pump on a highway drill, a faulty hydraulic motor engaged while the driller was inspecting the belts and pulleys. His three fingers (index, middle and ring) were trapped between the belt and pulley severing the tips to the first knuckle.",44,"While servicing a water pump on a highway drill, a faulty hydraulic motor engaged while the driller was inspecting the belts and pulleys. His three fingers (index, middle and ring) were trapped between the belt and pulley severing the tips to the first knuckle.",False,,,,train_candidate
msha_001960,msha,no_injury_event,00,ACCIDENT ONLY,2022-11-30,2022,3402191,M,OFFICE WORKERS AT MINE SITE,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,"I arrived at 0040 office was on fire. Mine was closed at the time. Yuba fire dept along with two other dept was there, they got the fire out around 0400 on 11/30/22. There were no injuries. I called MSHA they gave me the 1800 number, I immediately called and MSHA showed up to do the investigation.",57,"I arrived at 0040 office was on fire. Mine was closed at the time. Yuba fire dept along with two other dept was there, they got the fire out around 0400 on 11/30/22. There were no injuries. I called MSHA they gave me the 1800 number, I immediately called and MSHA showed up to do the investigation.",False,,,,train_candidate
msha_001963,msha,no_injury_event,00,ACCIDENT ONLY,2024-07-31,2024,3605018,C,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,The elevator at the #9 portal door switch failed. The door switch was replaced.,14,The elevator at the #9 portal door switch failed. The door switch was replaced.,False,,,,train_candidate
msha_001970,msha,fatal,01,FATALITY,2004-09-28,2004,4002271,M,"STRIP, QUARY, OPEN PIT",POWERED HAULAGE,Fall onto or against objects,Handling supplies or material,BELT CONVEYORS,"CUT,LACER,PUNCT-OPN WOUND",CHEST (RIBS/BREAST BONE/CHEST ORGNS),0,1,"Conveyor, Belt feeder, Stage loader, Hopper shaker, Belt structure",True,2,"[""fracturing""]",True,True,"Not sure yet. Still under investigation. Theory #1: Natural death. Theory #2: A rock fell from conveyor and struck employee at a glancing blow, causing him to strike metal structure fracturing 12 ribs and puncturing right lung. There were no witnesses.",41,"Not sure yet. Still under investigation. Theory #1: Natural death. Theory #2: A rock fell from conveyor and struck employee at a glancing blow, causing him to strike metal structure fracturing 12 ribs and puncturing right lung. There were no witnesses.",False,,,,train_candidate
msha_001972,msha,fatal,01,FATALITY,2023-05-16,2023,4102840,C,"STRIP, QUARY, OPEN PIT",FALLING/SLIDING/ROLLING MATERIALS,Struck by rolling or sliding object,Bulldozer,LANDSLIDE (SURF ONLY),CRUSHING,MULTIPLE PARTS (MORE THAN ONE MAJOR),,1,"Bulldozer, Dozer, Crawler tractor, Push cat",False,0,[],True,True,"While SC0539 Bulldozer was traveling on 1B Ramp, a large volume of material entered the road and contacted the bulldozer.",20,"While SC0539 Bulldozer was traveling on 1B Ramp, a large volume of material entered the road and contacted the bulldozer.",False,,,,train_candidate
msha_001973,msha,no_injury_event,00,ACCIDENT ONLY,2024-11-12,2024,4105232,M,"STRIP, QUARY, OPEN PIT",POWERED HAULAGE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Front-end loader, Tractor-shovel, Payloader, Highlift, Skip loader",False,0,[],False,False,"The plant loader loading one of our contractors haul truck had a big rock on the edge of the bucket. When EE went to dump the bucket into the bed of the haul truck, the big rock fell and landed on hydraulic cap and two steps on the walkway damaging the steps and hydraulic cap.",55,"The plant loader loading one of our contractors haul truck had a big rock on the edge of the bucket. When EE went to dump the bucket into the bed of the haul truck, the big rock fell and landed on hydraulic cap and two steps on the walkway damaging the steps and hydraulic cap.",False,,,,train_candidate
msha_001975,msha,no_injury_event,00,ACCIDENT ONLY,2020-07-08,2020,4202093,C,CULM BANK/REFUSE PILE,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,"Employees doing maintenance cleaning ditches and culverts. The tumble weeds on were lit on fire, out of nowhere a wirly wind picked up one of the weeds and placed it on the old reject pile that had been reclaimed with straw. Some of the straw caught fire, a fire line was built using equipment and water trucks were used to extinguish the fire that lasted about 30 minutes.",68,"Employees doing maintenance cleaning ditches and culverts. The tumble weeds on were lit on fire, out of nowhere a wirly wind picked up one of the weeds and placed it on the old reject pile that had been reclaimed with straw. Some of the straw caught fire, a fire line was built using equipment and water trucks were used to extinguish the fire that lasted about 30 minutes.",False,,,,train_candidate
msha_001980,msha,no_injury_event,00,ACCIDENT ONLY,2025-06-14,2025,4404856,C,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,The ABB VFD Controls were damaged during a thunder and lightning storm,12,The ABB VFD Controls were damaged during a thunder and lightning storm,False,,,,train_candidate
msha_001985,msha,no_injury_event,00,ACCIDENT ONLY,2024-07-07,2024,4601436,C,MILL OPERATION/PREPARATION PLANT,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,A fire occurred on top of the prep plant silo. No other part 50 criteria applies.,16,A fire occurred on top of the prep plant silo. No other part 50 criteria applies.,False,,,,train_candidate
msha_001987,msha,no_injury_event,00,ACCIDENT ONLY,2024-05-15,2024,4604168,C,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,"While placing a pallet of track sand onto the elevator with a motorized dolly, dolly made contact with the elevator door knocking it off track. Elevator was down from 07:15 until 09:00pm.",32,"While placing a pallet of track sand onto the elevator with a motorized dolly, dolly made contact with the elevator door knocking it off track. Elevator was down from 07:15 until 09:00pm.",False,,,,train_candidate
msha_001993,msha,no_injury_event,00,ACCIDENT ONLY,2020-04-02,2020,4700587,M,MILL OPERATION/PREPARATION PLANT,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,Coal fire started in coal yard at approximately 12:30 AM on 4/2/2020. Heavy equipment operators used equipment to extinguish. Fire department and police department were called in as well to assist.,31,Coal fire started in coal yard at approximately 12:30 AM on 4/2/2020. Heavy equipment operators used equipment to extinguish. Fire department and police department were called in as well to assist.,False,,,,train_candidate
msha_001995,msha,no_injury_event,00,ACCIDENT ONLY,2025-07-22,2025,4800993,C,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,Lightning strike that started a grass fire. No people or resources at risk.,13,Lightning strike that started a grass fire. No people or resources at risk.,False,,,,train_candidate
msha_001996,msha,no_injury_event,00,ACCIDENT ONLY,2024-06-24,2024,4801034,C,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,Smoker was identified in Area 6. No personnel or resources at risk,12,Smoker was identified in Area 6. No personnel or resources at risk,False,,,,train_candidate
msha_001998,msha,no_injury_event,00,ACCIDENT ONLY,2024-03-28,2024,4801200,C,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,Had some smokers flare up on us that we were not able to get it out in the proper time. We are pushing material over on to the smoker to snuff it out. It was on our Canyon coal seam.,40,Had some smokers flare up on us that we were not able to get it out in the proper time. We are pushing material over on to the smoker to snuff it out. It was on our Canyon coal seam.,False,,,,train_candidate
msha_002006,msha,no_injury_event,00,ACCIDENT ONLY,2022-09-28,2022,0502962,C,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,"A grass fire was reported at approx. 4:49 pm. Mine employees began fighting the fire and requested help from Craig. No buildings, equipment or personnel were in the path of the fire. The fire was extinguished without injury. EMC Sargent of the MoCo sheriff department determined that the fire was due to a bird contacting a powerline.",57,"A grass fire was reported at approx. 4:49 pm. Mine employees began fighting the fire and requested help from Craig. No buildings, equipment or personnel were in the path of the fire. The fire was extinguished without injury. EMC Sargent of the MoCo sheriff department determined that the fire was due to a bird contacting a powerline.",False,,,,train_candidate
msha_002013,msha,no_injury_event,00,ACCIDENT ONLY,2021-08-25,2021,1101013,M,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Pump, Slurry pump, Sump pump",False,0,[],False,False,"At approximately 10:30 PM smoke was observed in the B Pit Pump house due to the overheating of a mining pump motor. The local fire department was called and, at 11:15, the smoke was cleared, and a small fire was observed inside the pump and motor. The fire was fully extinguished at approximately 11:40 PM. This occurred in an unoccupied area of the mine.",64,"At approximately 10:30 PM smoke was observed in the B Pit Pump house due to the overheating of a mining pump motor. The local fire department was called and, at 11:15, the smoke was cleared, and a small fire was observed inside the pump and motor. The fire was fully extinguished at approximately 11:40 PM. This occurred in an unoccupied area of the mine.",False,,,,train_candidate
msha_002016,msha,no_injury_event,00,ACCIDENT ONLY,2019-12-12,2019,1103143,C,MILL OPERATION/PREPARATION PLANT,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,Smoke was observed coming from the west side of the raw coal pile located near the Prairie Eagle East Portal. Actions were taken to treat and remove the affected material.,30,Smoke was observed coming from the west side of the raw coal pile located near the Prairie Eagle East Portal. Actions were taken to treat and remove the affected material.,False,,,,train_candidate
msha_002017,msha,no_injury_event,00,ACCIDENT ONLY,2022-07-18,2022,1103143,C,MILL OPERATION/PREPARATION PLANT,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,A hot spot was discovered on the South side of the PEEP raw coal pad. No one was injured. The affected material was moved into the feeder by a dozer to be washed.,33,A hot spot was discovered on the South side of the PEEP raw coal pad. No one was injured. The affected material was moved into the feeder by a dozer to be washed.,False,,,,train_candidate
msha_002018,msha,no_injury_event,00,ACCIDENT ONLY,2023-05-08,2023,1103143,C,MILL OPERATION/PREPARATION PLANT,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,A hot spot on a coal pile was discovered at the Prairie Eagle East Portal Raw coal pad. No one was injured. Steps are being taken to transport the hot material to the prep plant to be washed and taken from property.,42,A hot spot on a coal pile was discovered at the Prairie Eagle East Portal Raw coal pad. No one was injured. Steps are being taken to transport the hot material to the prep plant to be washed and taken from property.,False,,,,train_candidate
msha_002024,msha,no_injury_event,00,ACCIDENT ONLY,2025-09-02,2025,1500062,M,MILL OPERATION/PREPARATION PLANT,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Man lift, Lift basket, Basket scaler, Self-propelled hydraulic boom",False,0,[],False,False,On 9/2/2025 two employees were unable to lower the rental JLG manlift basket they were working from due to a blown circuit power fuse. Another manlift on site was used to get the two employees safely to the ground.,39,On 9/2/2025 two employees were unable to lower the rental JLG manlift basket they were working from due to a blown circuit power fuse. Another manlift on site was used to get the two employees safely to the ground.,False,,,,train_candidate
msha_002029,msha,no_injury_event,00,ACCIDENT ONLY,2019-02-23,2019,1518015,C,"STRIP, QUARY, OPEN PIT",FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Front-end loader, Tractor-shovel, Payloader, Highlift, Skip loader",False,0,[],False,False,The Caterpillar 992K caught on fire in the Winifrede pit at approximately 1:15 AM and was engulfed in seconds. The operator jumped from the loader and received no injuries.,29,The Caterpillar 992K caught on fire in the Winifrede pit at approximately 1:15 AM and was engulfed in seconds. The operator jumped from the loader and received no injuries.,False,,,,train_candidate
msha_002042,msha,no_injury_event,00,ACCIDENT ONLY,2024-05-23,2024,2602286,M,SURFACE AT UNDERGROUND,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,"Safety on-call received a call at 3:58pm from TROC Dispatch that there was a brush fire at the mill standpipe by the tails. Mayday issued, on shift supervisor was notified, and fire truck and water truck dispatched to location. At 4:40pm brush fire was extinguished. The power pole with the broken line was repaired by Western Line Builders contractor.",59,"Safety on-call received a call at 3:58pm from TROC Dispatch that there was a brush fire at the mill standpipe by the tails. Mayday issued, on shift supervisor was notified, and fire truck and water truck dispatched to location. At 4:40pm brush fire was extinguished. The power pole with the broken line was repaired by Western Line Builders contractor.",False,,,,train_candidate
msha_002043,msha,no_injury_event,00,ACCIDENT ONLY,2019-04-05,2019,2602711,M,SURFACE AT UNDERGROUND,HOISTING,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",False,0,[],False,False,The East Main Hoist shut down during night shift due to a heat sink fault on slave drive #1. The 120V to 24V step down transformer that supplies power to the drive cabinet failed. This caused the hoist to trip on heat sink.,43,The East Main Hoist shut down during night shift due to a heat sink fault on slave drive #1. The 120V to 24V step down transformer that supplies power to the drive cabinet failed. This caused the hoist to trip on heat sink.,False,,,,train_candidate
msha_002047,msha,permanent_impairment,02,PERM TOT OR PERM PRTL DISABLTY,2024-07-19,2024,2902245,M,"STRIP, QUARY, OPEN PIT",POWERED HAULAGE,"Caught in, under or between running or meshing objects","Hand load, Hand shoveling",BELTS (NOT CONVEYOR),AMPUTATION OR ENUCLEATION,FOREARM/ULNAR/RADIUS,,1,"Crusher, Breaker, Mills (ball and rod), Feeder breaker",False,0,[],True,False,There was a laborer shoveling dirt from under the cone crusher. The shovel handle got caught between the moving conveyor belt and the frame of machine causing the shovel to get pulled up along with employees arm. Right forearm was caught between belt and frame and was amputated approx 3 inched below elbow.,53,There was a laborer shoveling dirt from under the cone crusher. The shovel handle got caught between the moving conveyor belt and the frame of machine causing the shovel to get pulled up along with employees arm. Right forearm was caught between belt and frame and was amputated approx 3 inched below elbow.,False,,,,train_candidate
msha_002063,msha,no_injury_event,00,ACCIDENT ONLY,2019-02-09,2019,3608135,C,SURFACE AT UNDERGROUND,FIRE,"Accident type, without injuries",NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,,0,NO VALUE FOUND,False,0,[],False,False,"A fire occurred at the shop/office building during a non-work shift when no employees were present at the mine. It is unknown what caused the fire, however the building and its contents were a complete loss. The fire chief on site believed that the fire started on the west side of the building.",53,"A fire occurred at the shop/office building during a non-work shift when no employees were present at the mine. It is unknown what caused the fire, however the building and its contents were a complete loss. The fire chief on site believed that the fire started on the west side of the building.",False,,,,train_candidate
msha_002064,msha,fatal,01,FATALITY,2025-09-08,2025,3700070,M,"STRIP, QUARY, OPEN PIT",POWERED HAULAGE,Struck against a moving object,Haulage or Dump truck,"HGHWY ORE CARIER,LRGE TRK",CRUSHING,MULTIPLE PARTS (MORE THAN ONE MAJOR),,1,Ore haulage trucks - off highway trucks,False,0,[],True,True,IDS driver was instructed by Lynch to dump employee's load under unsafe conditions. The berm that the Lynch operator constructed was inadequate/non-existent due to the pile being dug into by Lynch from below. This caused the earth to fall away under back tires. End dump rolled down embankment flipping and landing on its roof. Employee was pronounced dead at the hospital.,61,IDS driver was instructed by Lynch to dump employee's load under unsafe conditions. The berm that the Lynch operator constructed was inadequate/non-existent due to the pile being dug into by Lynch from below. This caused the earth to fall away under back tires. End dump rolled down embankment flipping and landing on its roof. Employee was pronounced dead at the hospital.,False,,,,train_candidate
